Month,rock climbing: (United States)
2004-01,96
2004-02,89
2004-03,100
2004-04,90
2004-05,85
2004-06,91
2004-07,91
2004-08,74
2004-09,85
2004-10,80
2004-11,72
2004-12,71
2005-01,81
2005-02,78
2005-03,84
2005-04,85
2005-05,83
2005-06,82
2005-07,85
2005-08,78
2005-09,70
2005-10,71
2005-11,66
2005-12,61
2006-01,74
2006-02,75
2006-03,75
2006-04,75
2006-05,73
2006-06,74
2006-07,76
2006-08,63
2006-09,63
2006-10,65
2006-11,62
2006-12,61
2007-01,64
2007-02,60
2007-03,70
2007-04,71
2007-05,65
2007-06,62
2007-07,65
2007-08,66
2007-09,63
2007-10,56
2007-11,57
2007-12,53
2008-01,61
2008-02,64
2008-03,65
2008-04,62
2008-05,62
2008-06,60
2008-07,66
2008-08,61
2008-09,56
2008-10,49
2008-11,51
2008-12,47
2009-01,60
2009-02,59
2009-03,59
2009-04,56
2009-05,57
2009-06,57
2009-07,60
2009-08,59
2009-09,55
2009-10,47
2009-11,50
2009-12,49
2010-01,53
2010-02,54
2010-03,56
2010-04,56
2010-05,52
2010-06,56
2010-07,57
2010-08,52
2010-09,50
2010-10,48
2010-11,45
2010-12,44
2011-01,56
2011-02,59
2011-03,63
2011-04,59
2011-05,56
2011-06,58
2011-07,58
2011-08,57
2011-09,54
2011-10,52
2011-11,51
2011-12,61
2012-01,69
2012-02,66
2012-03,63
2012-04,60
2012-05,57
2012-06,59
2012-07,60
2012-08,58
2012-09,53
2012-10,48
2012-11,46
2012-12,47
2013-01,56
2013-02,60
2013-03,60
2013-04,52
2013-05,48
2013-06,51
2013-07,57
2013-08,55
2013-09,50
2013-10,43
2013-11,47
2013-12,45
2014-01,53
2014-02,54
2014-03,53
2014-04,50
2014-05,48
2014-06,52
2014-07,57
2014-08,56
2014-09,50
2014-10,42
2014-11,44
2014-12,45
2015-01,59
2015-02,52
2015-03,53
2015-04,53
2015-05,49
2015-06,56
2015-07,62
2015-08,56
2015-09,52
2015-10,45
2015-11,48
2015-12,48
2016-01,53
2016-02,56
2016-03,56
2016-04,51
2016-05,53
2016-06,53
2016-07,56
2016-08,51
2016-09,48
2016-10,44
2016-11,45
2016-12,48
2017-01,52
2017-02,52
2017-03,55
2017-04,50
2017-05,49
2017-06,54
2017-07,57
2017-08,51
2017-09,45
2017-10,43
2017-11,45
2017-12,46
2018-01,53
2018-02,51
2018-03,52
2018-04,48
2018-05,44
2018-06,49
2018-07,52
2018-08,50
2018-09,48
2018-10,43
2018-11,46
2018-12,48
2019-01,52
2019-02,58
2019-03,81
2019-04,60
2019-05,53
2019-06,57
2019-07,57
2019-08,51
2019-09,46
2019-10,42
2019-11,46
2019-12,48
2020-01,54
2020-02,51
2020-03,32
2020-04,22
2020-05,25
2020-06,31
2020-07,31
2020-08,32
2020-09,32
2020-10,34
2020-11,32
2020-12,31
2021-01,33
2021-02,35
2021-03,37
2021-04,41
2021-05,39
2021-06,43
2021-07,50
2021-08,50
2021-09,39
2021-10,35
2021-11,44
2021-12,44
2022-01,43
2022-02,46
2022-03,42
2022-04,42
2022-05,40
2022-06,43
2022-07,47